,t0,t1,cps,cps_err,flux,flux_err,counts,expt,detrad,cps_apcorrected,flux_apcorrected
0,816396935.0,816396965.0,-0.0,-0.0,-0.0,-0.0,0.0,-23.74816583827551,,0.0,0.0
1,816396965.0,816396995.0,0.09734715971891912,0.07059673002184583,1.3628602360648677e-16,9.883542203058416e-17,1.9014171145462977,19.532332736121557,30.83461607719639,0.10383010296898143,1.45362144156574e-16
2,816396995.0,816397025.0,0.5463718046628427,0.1354622597757886,7.649205265279799e-16,1.8964716368610404e-16,16.26821587812871,29.774991570378646,33.26253254299568,0.5827580476029642,8.1586126664415e-16
3,816397025.0,816397055.0,0.6513970890447598,0.14795973906117565,9.119559246626638e-16,2.0714363468564592e-16,19.382264392535088,29.754914043226965,35.967648543354755,0.694777608555821,9.726886519781495e-16
4,816397055.0,816397085.0,0.897653564230423,0.17368006510846967,1.2567149899225922e-15,2.4315209115185755e-16,26.71268683664472,29.758347653357855,31.84841222601646,0.9574338098166857,1.34040733374336e-15
5,816397085.0,816397115.0,0.8457875198189476,0.16858174368754858,1.1841025277465267e-15,2.3601444116256803e-16,25.171057513662,29.76049767091646,29.752629391375763,0.9021136880238497,1.2629591632333897e-15
6,816397115.0,816397145.0,0.9513625393588019,0.17878504718682317,1.3319075551023228e-15,2.5029906606155244e-16,28.31585675000237,29.763476675344666,34.07173411889133,1.0147195943638676,1.4206074321094147e-15
7,816397145.0,816397175.0,0.9573120876457739,0.17932885576790347,1.3402369227040835e-15,2.5106039807506487e-16,28.49749790678883,29.768242012769317,36.65129550836714,1.0210653594898234,1.4294915032857528e-15
8,816397175.0,816397205.0,0.5508823113380465,0.1360322424396931,7.712352358732652e-16,1.9044513941557036e-16,16.3996258706001,29.76974488573938,31.463946221140553,0.587568936527519,8.225965111385266e-16
9,816397205.0,816397235.0,0.9819921656951576,0.18161171869724077,1.3747890319732208e-15,2.542564061761371e-16,29.23669715535254,29.77284155282005,29.277788382132552,1.0473890350089547,1.4663446490125367e-15
